timestamp=1399057130223;power=30.974889454018555
timestamp=1399057131239;power=-167110.17904140343
timestamp=1399057132239;power=31.383650199304697
timestamp=1399057133239;power=32.13360943845134
timestamp=1399057134239;power=31.308179817970206
timestamp=1399057135239;power=31.291719412955526
timestamp=1399057136239;power=31.301694657087516
timestamp=1399057137240;power=31.30240316193997
timestamp=1399057138239;power=31.26251759162527
timestamp=1399057139239;power=31.269931867757514
timestamp=1399057140240;power=31.391012958910487
timestamp=1399057141240;power=31.292855149098298
timestamp=1399057142239;power=31.26658675177277
timestamp=1399057143240;power=31.308191542086682
timestamp=1399057144239;power=31.332356405789355
timestamp=1399057145239;power=31.2435742148699
timestamp=1399057146239;power=31.29639586577443
timestamp=1399057147239;power=31.29911192981102
timestamp=1399057148239;power=31.273088313560365
=====
timestamp=1399057149239;power=31.295516297942886
timestamp=1399057150239;power=31.623162005758193
timestamp=1399057151240;power=32.33111536447925
timestamp=1399057152239;power=37.61725640426837
timestamp=1399057153239;power=62.628872509592
timestamp=1399057154240;power=71.3445451442619
timestamp=1399057155239;power=67.60066178193337
timestamp=1399057156239;power=65.91546631709609
timestamp=1399057157239;power=64.39840503107625
timestamp=1399057158239;power=68.25520959477998
timestamp=1399057159239;power=66.87370210709791
timestamp=1399057160239;power=63.48496245202843
timestamp=1399057161239;power=67.49359574867134
timestamp=1399057162239;power=68.53102804621494
timestamp=1399057163239;power=67.16443771542579
timestamp=1399057164239;power=61.620814796518786
timestamp=1399057165239;power=68.10599766415696
timestamp=1399057166239;power=66.94348641797345
timestamp=1399057167239;power=63.152060991083886
timestamp=1399057168239;power=65.62338161208429
timestamp=1399057169239;power=67.04176919100983
timestamp=1399057170240;power=66.67367430315333
timestamp=1399057171239;power=60.84168872477108
timestamp=1399057172239;power=66.14883547482302
timestamp=1399057173239;power=62.37068761351415
timestamp=1399057174239;power=62.028452821333275
timestamp=1399057175239;power=61.82927314694689
timestamp=1399057176239;power=61.848251492153906
timestamp=1399057177239;power=60.96817091566797
timestamp=1399057178239;power=61.9023836046046
