timestamp=1399057131238;power=33.54667042592476
timestamp=1399057132239;power=31.074262328903743
timestamp=1399057133238;power=33.22953395002461
timestamp=1399057134238;power=30.275117401825025
timestamp=1399057135239;power=30.15192374482747
timestamp=1399057136239;power=31.04116229234804
timestamp=1399057137239;power=29.62477100295383
timestamp=1399057138238;power=30.659038833681468
timestamp=1399057139238;power=29.839379682376148
timestamp=1399057140239;power=30.270026754841652
timestamp=1399057141239;power=29.978646786444596
timestamp=1399057142238;power=30.47802842434939
timestamp=1399057143239;power=29.67450770709773
timestamp=1399057144239;power=30.14265226861946
timestamp=1399057145238;power=30.639629388161897
timestamp=1399057146239;power=29.733299264173755
timestamp=1399057147238;power=30.706306032480246
timestamp=1399057148239;power=29.635212244851633
timestamp=1399057149238;power=30.23376401845799
=====
timestamp=1399057150238;power=29.774219400989015
timestamp=1399057151238;power=43.91404378665241
timestamp=1399057152239;power=46.4399361704902
timestamp=1399057153242;power=47.69515974262368
timestamp=1399057154238;power=55.90037286205722
timestamp=1399057155239;power=48.021567694731836
timestamp=1399057156238;power=48.57313387979807
timestamp=1399057157239;power=48.876731400955215
timestamp=1399057158238;power=49.72262363097058
timestamp=1399057159239;power=49.29763042600575
timestamp=1399057160239;power=49.266761609191704
timestamp=1399057161239;power=50.50714648692685
timestamp=1399057162238;power=52.24624147041154
timestamp=1399057163239;power=49.87477981995437
timestamp=1399057164238;power=48.552121422036926
timestamp=1399057165239;power=49.112265888828325
timestamp=1399057166239;power=48.59187179316239
timestamp=1399057167239;power=48.64639587170342
timestamp=1399057168239;power=48.545904334018935
timestamp=1399057169238;power=48.87107753345454
timestamp=1399057170238;power=48.60107828238763
timestamp=1399057171238;power=48.80886332861948
timestamp=1399057172239;power=49.94899495427362
timestamp=1399057173239;power=48.16360757673165
timestamp=1399057174238;power=48.75124153723325
timestamp=1399057175238;power=48.1517149588854
timestamp=1399057176238;power=48.48262867513203
timestamp=1399057177239;power=47.952096610154534
timestamp=1399057178239;power=48.59076701445536
timestamp=1399057179238;power=48.33740443097666
timestamp=1399057180238;power=49.678345833379055
timestamp=1399057181238;power=41.69387183207547
timestamp=1399057182239;power=27.485594491231442
timestamp=1399057183238;power=27.824306645410047
timestamp=1399057184239;power=28.186544087350093
timestamp=1399057185239;power=27.718681136087017
timestamp=1399057186239;power=29.827617038495426
timestamp=1399057187239;power=27.764951867816713
timestamp=1399057188238;power=27.485139582352076
timestamp=1399057189239;power=27.56485694787889
timestamp=1399057190239;power=28.02489979888241
timestamp=1399057191238;power=27.57633798150096
timestamp=1399057192239;power=27.441533316915805
timestamp=1399057193239;power=27.406635307170237
timestamp=1399057194238;power=27.26663168396377
timestamp=1399057195239;power=27.876057946019706
timestamp=1399057196239;power=27.469087797608772
timestamp=1399057197238;power=27.591674909433834
timestamp=1399057198239;power=27.24863028973747
timestamp=1399057199239;power=27.375376568459586
timestamp=1399057200238;power=27.548566877532107
timestamp=1399057201239;power=27.70191449453328
timestamp=1399057202239;power=27.343272998972974
timestamp=1399057203238;power=27.320007659142593
timestamp=1399057204238;power=27.19100849835124
timestamp=1399057205239;power=27.122187283601598
timestamp=1399057206238;power=28.683737830168415
timestamp=1399057207238;power=28.49540555411132
timestamp=1399057208239;power=28.43375456979357
timestamp=1399057209239;power=27.955017130080915
