timestamp=1399057210348;power=30.974889454018555
timestamp=1399057211352;power=31.543690232870045
timestamp=1399057212363;power=31.399776735216196
timestamp=1399057213359;power=32.168280117142295
timestamp=1399057214362;power=31.299657199465262
timestamp=1399057215359;power=31.320383054649724
timestamp=1399057216369;power=31.33338960095012
timestamp=1399057217359;power=31.289373454796472
timestamp=1399057218359;power=31.272326486940628
timestamp=1399057219360;power=31.352953876432046
timestamp=1399057220363;power=31.34360079578553
timestamp=1399057221363;power=31.281847515365396
timestamp=1399057222359;power=31.267586917675484
timestamp=1399057223360;power=31.26657429466029
timestamp=1399057224362;power=31.31508255435242
timestamp=1399057225359;power=31.322868366096188
timestamp=1399057226363;power=31.295158789491737
timestamp=1399057227359;power=31.30923720959042
timestamp=1399057228359;power=31.32659963540263
=====
timestamp=1399057229359;power=31.295375177497323
timestamp=1399057230362;power=31.40434119514016
timestamp=1399057231360;power=31.23724702813874
timestamp=1399057232359;power=31.39235564281239
timestamp=1399057233359;power=51.415417866038034
timestamp=1399057234359;power=45.77341429882672
timestamp=1399057235359;power=42.903622696960774
timestamp=1399057236359;power=43.00767315215366
timestamp=1399057237359;power=42.95119882046094
timestamp=1399057238359;power=43.82204398379398
timestamp=1399057239360;power=51.223629909719634
timestamp=1399057240359;power=44.75006814961131
timestamp=1399057241360;power=42.96824671431882
timestamp=1399057242359;power=43.021748419536294
timestamp=1399057243359;power=43.01926830298683
timestamp=1399057244359;power=49.07068612462285
timestamp=1399057245360;power=47.10278884798371
timestamp=1399057246359;power=43.88800364420719
timestamp=1399057247359;power=43.01832187318705
timestamp=1399057248359;power=43.05027396327726
timestamp=1399057249359;power=42.94101326858865
timestamp=1399057250360;power=50.362978878967624
timestamp=1399057251359;power=46.9597025100133
timestamp=1399057252359;power=46.414252579557214
timestamp=1399057253359;power=43.02286526242119
timestamp=1399057254360;power=43.01210815744509
timestamp=1399057255359;power=43.2053013405295
timestamp=1399057256359;power=43.23915321551097
timestamp=1399057257359;power=52.06624791364594
timestamp=1399057258359;power=45.05424537574664
