timestamp=1399057451680;power=34.751269138483195
timestamp=1399057452689;power=31.105824340200634
timestamp=1399057453689;power=31.862012871670746
timestamp=1399057454689;power=32.97114570654531
timestamp=1399057455689;power=30.796832899473877
timestamp=1399057456689;power=31.949853610043363
timestamp=1399057457689;power=30.925030554144442
timestamp=1399057458689;power=32.66016133168038
timestamp=1399057459689;power=30.57743684565443
timestamp=1399057460689;power=32.47390863907181
timestamp=1399057461688;power=30.83331225913343
timestamp=1399057462688;power=30.714840989550236
timestamp=1399057463689;power=32.1413919105836
timestamp=1399057464690;power=30.453939916070635
timestamp=1399057465689;power=32.74590082427688
timestamp=1399057466688;power=30.98798127811752
timestamp=1399057467689;power=31.913504224349342
timestamp=1399057468688;power=30.800688793784683
=====
timestamp=1399057469689;power=32.18285360558858
timestamp=1399057470689;power=30.74263375584668
timestamp=1399057471688;power=37.709498256338414
timestamp=1399057472688;power=47.35007886413397
timestamp=1399057473689;power=49.148918547108586
timestamp=1399057474688;power=50.49939137365006
timestamp=1399057475689;power=48.700010132485716
timestamp=1399057476689;power=49.35596707420242
timestamp=1399057477689;power=48.79937522913558
timestamp=1399057478688;power=49.60612363319797
timestamp=1399057479689;power=49.000314979849364
timestamp=1399057480689;power=49.56635159974492
timestamp=1399057481689;power=49.27326030746835
timestamp=1399057482688;power=48.883338410869804
timestamp=1399057483688;power=49.586930810954286
timestamp=1399057484689;power=49.12725621951978
timestamp=1399057485688;power=50.043052780664226
timestamp=1399057486688;power=49.71681812717678
timestamp=1399057487689;power=50.57793897348708
timestamp=1399057488688;power=49.177491157198226
timestamp=1399057489688;power=49.184704712285296
timestamp=1399057490689;power=50.891826100248906
timestamp=1399057491689;power=49.910262712544835
timestamp=1399057492688;power=51.06755090164932
timestamp=1399057493688;power=49.34656562402887
timestamp=1399057494689;power=50.27444976396788
timestamp=1399057495688;power=49.71532342657315
timestamp=1399057496689;power=50.49666192037387
timestamp=1399057497688;power=49.65447394837619
timestamp=1399057498689;power=50.2957005073325
timestamp=1399057499689;power=50.871290213694714
timestamp=1399057500688;power=49.81312883563662
timestamp=1399057501688;power=38.12400689475026
timestamp=1399057502688;power=27.573305255638527
timestamp=1399057503688;power=27.878419139726887
timestamp=1399057504689;power=27.712030801517255
timestamp=1399057505689;power=27.747751979711197
timestamp=1399057506689;power=27.855717020413817
timestamp=1399057507688;power=27.653802464958538
timestamp=1399057508689;power=27.62250040159271
timestamp=1399057509688;power=27.58285834210519
timestamp=1399057510689;power=27.64849519469928
timestamp=1399057511689;power=27.57562312469053
timestamp=1399057512689;power=27.439757006053526
timestamp=1399057513689;power=27.90822650248909
timestamp=1399057514689;power=27.74718875919389
timestamp=1399057515688;power=27.701806182895336
timestamp=1399057516689;power=27.624536660386056
timestamp=1399057517689;power=27.421040755016794
timestamp=1399057518689;power=27.78115528885314
timestamp=1399057519688;power=27.441186719674388
timestamp=1399057520688;power=27.47508826235087
timestamp=1399057521688;power=27.302331199830128
timestamp=1399057522689;power=27.18234356731572
timestamp=1399057523689;power=27.297608812415767
timestamp=1399057524689;power=27.15613215093326
timestamp=1399057525689;power=27.053019471610533
timestamp=1399057526689;power=27.52506325209825
timestamp=1399057527689;power=27.43405981389767
timestamp=1399057528689;power=27.27793941896513
timestamp=1399057529688;power=27.543887814772926
