timestamp=1399057530792;power=30.974889454018555
timestamp=1399057531801;power=31.62569333957461
timestamp=1399057532800;power=31.455550855542405
timestamp=1399057533809;power=32.122753720072254
timestamp=1399057534809;power=31.286381705950813
timestamp=1399057535809;power=31.274014991762346
timestamp=1399057536809;power=31.29322568946923
timestamp=1399057537809;power=31.34049524564063
timestamp=1399057538810;power=31.361571069160192
timestamp=1399057539809;power=31.27897282021308
timestamp=1399057540809;power=31.305980768254276
timestamp=1399057541809;power=31.278764124801043
timestamp=1399057542809;power=31.329309983781165
timestamp=1399057543809;power=31.845941274632636
timestamp=1399057544809;power=31.342892556193874
timestamp=1399057545799;power=31.324141154255287
timestamp=1399057546809;power=31.31351927257632
timestamp=1399057547810;power=31.31752895099958
=====
timestamp=1399057548809;power=31.296265596251708
timestamp=1399057549809;power=31.282834695456287
timestamp=1399057550816;power=31.28408912433945
timestamp=1399057551799;power=31.36810169928007
timestamp=1399057552809;power=36.21938989587897
timestamp=1399057553809;power=44.96308102465018
timestamp=1399057554810;power=49.69639109925812
timestamp=1399057555809;power=53.54055602222966
timestamp=1399057556809;power=53.67586531514271
timestamp=1399057557809;power=54.169024806502605
timestamp=1399057558809;power=54.7944807903698
timestamp=1399057559810;power=55.455756942814745
timestamp=1399057560810;power=54.416446887071935
timestamp=1399057561810;power=53.83143189802003
timestamp=1399057562809;power=56.448683682662086
timestamp=1399057563809;power=55.74049400046373
timestamp=1399057564809;power=55.57729665727611
timestamp=1399057565809;power=56.60725439462805
timestamp=1399057566809;power=57.030473290016715
timestamp=1399057567809;power=57.0280705628887
timestamp=1399057568810;power=58.134787996251625
timestamp=1399057569809;power=58.29468412765011
timestamp=1399057570809;power=57.70822643333982
timestamp=1399057571809;power=57.01938033627576
timestamp=1399057572809;power=57.475604684159585
timestamp=1399057573809;power=57.78852976686007
timestamp=1399057574809;power=58.36250197200104
timestamp=1399057575809;power=57.910358221692405
timestamp=1399057576809;power=57.53390940252501
timestamp=1399057577809;power=57.94076234596741
timestamp=1399057578809;power=57.94326895248871
