timestamp=1399057531799;power=31.641035467937314
timestamp=1399057532809;power=35.59339212349811
timestamp=1399057533809;power=34.78640543383224
timestamp=1399057534809;power=31.026561883553185
timestamp=1399057535808;power=32.88531956463845
timestamp=1399057536809;power=30.987742992514043
timestamp=1399057537808;power=32.38318681112988
timestamp=1399057538808;power=31.2009219583155
timestamp=1399057539809;power=32.45198636355193
timestamp=1399057540808;power=30.846439629652245
timestamp=1399057541809;power=30.75021557050276
timestamp=1399057542808;power=32.57546163080814
timestamp=1399057543808;power=31.36362770083504
timestamp=1399057544808;power=33.19561074502054
timestamp=1399057545809;power=31.187967886417393
timestamp=1399057546808;power=31.88646963951851
timestamp=1399057547808;power=30.787236488352033
timestamp=1399057548809;power=32.42451853216932
=====
timestamp=1399057549809;power=30.757385800934657
timestamp=1399057550809;power=30.617447164710956
timestamp=1399057551808;power=44.87927377935452
timestamp=1399057552808;power=43.617291561013324
timestamp=1399057553809;power=48.59869542635286
timestamp=1399057554809;power=49.199651718321576
timestamp=1399057555809;power=51.160135689763884
timestamp=1399057556809;power=50.242541155429564
timestamp=1399057557809;power=50.93939657163393
timestamp=1399057558808;power=49.920314032546045
timestamp=1399057559808;power=49.83210503460442
timestamp=1399057560808;power=51.53129801067052
timestamp=1399057561808;power=50.867932552918454
timestamp=1399057562809;power=51.63640362413142
timestamp=1399057563808;power=49.84690040434757
timestamp=1399057564809;power=51.0915960852729
timestamp=1399057565809;power=50.85413365024438
timestamp=1399057566808;power=52.59730115131577
timestamp=1399057567809;power=52.71497091477817
timestamp=1399057568809;power=52.250833883860366
timestamp=1399057569808;power=52.17653210023076
timestamp=1399057570809;power=50.83903500791498
timestamp=1399057571809;power=51.772919612596084
timestamp=1399057572808;power=50.809314294463135
timestamp=1399057573808;power=51.51435807049607
timestamp=1399057574808;power=51.144842086486186
timestamp=1399057575809;power=52.29927084834895
timestamp=1399057576809;power=50.56286199348527
timestamp=1399057577808;power=50.90176910861217
timestamp=1399057578808;power=52.10595623694642
timestamp=1399057579808;power=51.026500790868525
timestamp=1399057580808;power=52.6309210837336
timestamp=1399057581808;power=39.433906181717894
timestamp=1399057582809;power=26.365435531614178
timestamp=1399057583808;power=27.850864659033924
timestamp=1399057584808;power=28.32834568374643
timestamp=1399057585809;power=28.565461521533525
timestamp=1399057586809;power=28.685600790341052
timestamp=1399057587808;power=28.537430469633605
timestamp=1399057588808;power=28.54787171153141
timestamp=1399057589808;power=28.259026235462244
timestamp=1399057590809;power=27.584418029691584
timestamp=1399057591808;power=27.90671013955787
timestamp=1399057592808;power=27.835787679032112
timestamp=1399057593808;power=27.712485710396617
timestamp=1399057594809;power=27.629670632024606
timestamp=1399057595808;power=29.421426733877688
timestamp=1399057596808;power=29.184484194711303
timestamp=1399057597808;power=26.34249512669763
timestamp=1399057598809;power=27.336947599317043
timestamp=1399057599808;power=27.448638560364937
timestamp=1399057600808;power=27.21901788792357
timestamp=1399057601808;power=27.33551788569618
timestamp=1399057602809;power=27.500844769853963
timestamp=1399057603809;power=27.352067903974028
timestamp=1399057604809;power=27.095196023425945
timestamp=1399057605809;power=27.082761847389968
timestamp=1399057606809;power=27.284871363793545
timestamp=1399057607809;power=27.175736557401134
timestamp=1399057608808;power=27.128642657223065
timestamp=1399057609809;power=27.16009635688201
